Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50,Anomaly_Label,Anomaly_Score,Anomaly_Status
-1.962,-0.53955,-2.16801,0.67689,0.03924,-2.44269,2.31516,-3.52179,-1.32435,0.95157,-1.75599,-2.89395,1,0.12397944090680896,Normal
-1.50093,-1.02024,-2.66832,1.59903,1.1772,-4.54203,2.08953,-3.73761,-0.60822,1.24587,-0.59841,-3.03129,1,0.1157096574790405,Normal
-1.7658,-2.0601,-2.87433,1.2753,0.15696,-3.61989,1.98162,-3.47274,-0.08829,1.72656,-0.47088,-1.73637,1,0.12102747703477107,Normal
-0.92214,-0.87309,-1.99143,2.23668,-0.11772,-1.41264,1.79523,-2.70756,0.44145,0.90252,-0.21582,-0.75537,1,0.14825709040657553,Normal
-1.65789,-1.88352,-1.55979,3.15882,0.79461,-2.06991,2.33478,-2.81547,-1.24587,1.29492,-0.08829,-0.69651,1,0.13195153001883614,Normal
-0.59841,-1.42245,-1.52055,3.15882,1.43226,-1.50093,1.6677,-2.19744,0.34335,0.77499,1.93257,-2.11896,1,0.14091975654471656,Normal
-0.18639,-1.19682,-0.99081,3.6297,1.1772,0.16677,1.57941,-1.48131,1.61865,1.03005,1.81485,-1.82466,1,0.13655197475640263,Normal
0.10791,-0.03924,-0.59841,2.20725,0.64746,1.44207,1.89333,-0.44145,0.74556,1.09872,1.77561,-2.19744,1,0.1605135828276294,Normal
-0.31392,-1.09872,0.21582,3.15882,0.83385,-1.54998,1.54017,-0.01962,0.15696,0.26487,0.34335,-1.3734,1,0.15120337271831014,Normal
-0.57879,-1.45188,-0.13734,3.40407,2.27592,-1.65789,1.31454,0.92214,2.54079,0.54936,0.83385,-2.61927,1,0.13486861944318568,Normal
-0.54936,-2.05029,-0.44145,2.96262,1.19682,-2.0601,2.48193,0.7848,2.37402,-0.36297,-0.18639,-2.38383,1,0.14085420607255894,Normal
-0.87309,-1.18701,-0.36297,1.0791,1.16739,-1.28511,2.01105,0.70632,2.00124,-0.13734,-0.05886,-1.63827,1,0.1613179658482658,Normal
-0.92214,-1.22625,0.44145,0.87309,2.52117,-2.23668,2.13858,0.96138,0.41202,-0.97119,-0.40221,0.51993,1,0.14683956663460773,Normal
-0.92214,-2.01105,0.0,-0.27468,3.10977,0.03924,2.91357,1.13796,2.02086,-0.25506,-0.41202,-0.32373,1,0.1307729547515704,Normal
-1.20663,-1.31454,-0.16677,-0.70632,1.64808,0.69651,2.71737,1.35378,1.36359,0.05886,-0.21582,-1.16739,1,0.1555804114659876,Normal
-1.02024,-0.83385,-0.57879,-1.91295,2.00124,2.02086,2.7468,1.90314,0.5886,0.00981,-2.58984,-2.13858,1,0.13325238630376807,Normal
-1.04967,-0.38259,-0.96138,-1.30473,2.39364,0.44145,2.61927,2.61927,0.75537,-0.04905,-1.2753,-1.7658,1,0.14101975636044595,Normal
-1.04967,-0.81423,-1.46169,-2.13858,2.21706,-0.17658,2.43288,1.99143,2.4525,-0.23544,-1.64808,-0.80442,1,0.13955324308014305,Normal
-1.05948,-1.36359,-1.14777,-3.18825,0.27468,-0.14715,2.6487,1.16739,1.45188,-0.48069,-1.68732,-0.8829,1,0.13577093373069848,Normal
-0.76518,-0.24525,-1.26549,-4.43412,1.67751,0.51012,2.943,1.64808,0.5886,-1.23606,-2.71737,0.48069,1,0.11894859565612348,Normal
-0.50031,-0.54936,-0.53955,-3.81609,1.91295,-2.06991,3.06072,0.81423,0.46107,-2.66832,-0.87309,2.30535,1,0.13011874982200078,Normal
-0.38259,-0.2943,0.22563,-4.19868,3.32559,0.45126,2.52117,0.42183,0.48069,-1.58922,-3.32559,1.03986,1,0.10381179433242727,Normal
-0.14715,0.74556,0.6867,-4.47336,1.62846,2.52117,2.63889,0.31392,0.0981,-2.00124,-3.69837,-0.31392,1,0.1095466080353441,Normal
0.31392,1.11834,0.67689,-3.93381,1.77561,1.67751,2.05029,0.40221,-2.23668,-1.7658,-2.31516,-0.20601,1,0.13472944459607178,Normal
-0.32373,0.51993,0.28449,-2.79585,3.37464,-1.13796,2.13858,0.13734,-1.78542,-1.51074,-2.5506,0.11772,1,0.12181731790509864,Normal
-0.11772,-0.2943,0.47088,-1.97181,2.16801,-0.85347,1.35378,0.42183,-1.99143,-1.00062,-3.17844,-0.31392,1,0.14813278581145822,Normal
0.25506,-0.18639,0.75537,-2.02086,-0.22563,-0.03924,1.45188,-0.25506,-2.58984,-1.45188,-3.6297,-1.09872,1,0.14219575249573108,Normal
