Signal,Window_Start,Window_Size,RMS,STD,Peak_to_Peak,Crest_Factor
Crack2_30,2300,100,6.359518160903387,1.356042598455314,6.64137,1.471516988758368
Crack2_30,2400,100,2.196653964549492,1.5599623595807528,5.62113,1.9233607162182105
Crack2_30,2500,100,2.7926825015146277,0.7687133526779407,3.68856,1.6259865536392863
Crack2_30,2600,100,2.9625235226012974,1.27851828277501,5.6505600000000005,1.9603540340867527
Crack2_30,2700,100,1.8760441992114685,1.185098652787501,4.57146,2.247400859117226
Crack2_30,2800,100,0.7575791157714157,0.751788445933103,3.44331,2.8497826436966673
Crack2_30,2900,100,1.0725479866705268,1.0475870902845024,4.4145,3.4313137372525495
Crack2_30,3000,100,1.6498002316932192,0.9250776684628972,4.2575400000000005,2.51871545511789
Crack2_30,3100,100,1.6038224960543483,1.1141474016098587,4.29678,2.0258980785296576
Crack2_30,3200,100,1.238407110862579,1.0058014365135646,4.59108,2.12194466827827
Crack2_30,3300,100,1.2040727022626168,1.2026139137014173,5.2974,2.6965626234689846
Crack2_30,3400,100,1.4076707379060631,1.3511581734203995,5.5132200000000005,3.346261387210246
Crack2_30,3500,100,1.9652911923150216,0.9932000337690843,4.11039,2.2376498938550693
Crack2_30,3600,100,1.6768303333644103,0.8640594260902371,3.47274,2.3428454675475043
Crack2_30,3700,100,1.4738776580832618,1.3772293169699046,5.91543,3.244029786869811
Crack2_30,3800,100,1.252864899892243,1.2462160209411688,4.914809999999999,2.652718101998879
Crack2_30,3900,100,1.8876624689051271,1.4859401359394362,5.8663799999999995,2.433697347893915
Crack2_30,4000,100,1.8916610561345286,1.8862162187414147,7.20054,2.470660901791229
Crack2_30,4100,100,1.6327362141053285,1.4952444188990475,6.15087,2.9345699586986447
Crack2_30,4200,100,1.416695790268327,1.2841076411516288,5.57208,3.1643356643356646
Crack2_30,4300,100,2.4217643622051668,1.793658991595925,6.77871,2.306321922095431
Crack2_30,4400,100,1.9444808298065066,1.4027201339879993,5.27778,2.8838107499195362
Crack2_30,4500,100,1.536635594277316,1.3539276253422707,6.05277,3.99705286424756
Crack2_30,4600,100,1.515339875111851,1.5067751244455823,5.7290399999999995,2.487008166295472
Crack2_30,4700,100,1.1503775879453668,1.1495711909682627,5.53284,3.404998362981556
Crack2_50,0,100,2.3876421537075023,2.3210763730705004,9.60399,2.5508039040030184
Crack2_50,100,100,2.292034230671087,2.2075224919000123,8.45622,2.4738535800482704
Crack2_50,200,100,1.4165442983394483,1.414133995107239,7.3575,3.4225156358582343
Crack2_50,300,100,2.770596533461702,2.354137028263852,9.38817,2.5662618562184205
Crack2_50,400,100,3.102802975466538,3.022118289664857,13.85172,3.1108597285067874
Crack2_50,500,100,2.4240587415902284,1.9269295740034091,9.87867,3.323029366306028
Crack2_50,600,100,2.2873070555205306,1.896804786788825,9.093869999999999,2.8261336771975065
Crack2_50,700,100,3.290119270959337,1.653378762014391,7.07301,2.1632819398220464
Crack2_50,800,100,3.128116593578315,1.8031913184848247,9.368549999999999,2.5239944318265075
Crack2_50,900,100,3.0594931897093676,2.0686573721548864,9.37836,2.9508196721311477
Crack2_50,1000,100,2.575841684269629,1.9386520386676382,8.88786,2.841254264217954
Crack2_50,1100,100,2.4398818985625104,2.3103191306831423,8.54451,2.1248339973439574
Crack2_50,1200,100,4.000815560537377,3.987116879183724,16.186500000000002,2.5810779281381238
