Crack1_30,Crack2_30,Crack3_30,Crack4_30,Crack5_30,Crack6_30
0.65727,-0.30411,2.38383,0.07848,1.95219,1.60884
1.40283,0.66708,1.09872,1.39302,-2.67813,0.38259
0.3924,0.67689,-1.99143,1.60884,-1.34397,2.6487
3.32559,-0.23544,0.44145,0.54936,1.5696,0.05886
0.1962,-1.20663,0.64746,1.29492,2.77623,-7.12206
3.35502,2.42307,1.75599,0.62784,0.21582,4.86576
1.6677,-0.64746,-0.15696,0.21582,3.3354,2.09934
0.00981,0.59841,0.13734,0.10791,0.51012,4.04172
1.4715,-2.3544,0.28449,1.82466,-0.65727,-0.11772
-1.19682,-0.90252,-0.42183,1.54017,0.76518,-2.75661
-2.80566,1.70694,-0.24525,0.22563,1.26549,-0.62784
0.67689,-1.73637,-1.24587,1.2753,1.6677,3.10977
0.73575,0.50031,0.91233,0.81423,-0.75537,0.17658
0.23544,0.51012,0.981,-0.46107,-2.26611,-1.06929
1.5696,1.50093,-3.26673,0.22563,0.66708,-4.91481
1.57941,0.02943,-1.1772,-3.88476,0.67689,3.6297
0.44145,0.92214,-1.16739,0.57879,-1.03986,4.59108
0.21582,-3.0411,1.12815,-0.27468,-0.55917,-3.03129
-0.18639,-0.53955,1.52055,-0.02943,-0.26487,-0.0981
-0.0981,1.22625,2.72718,0.66708,-0.24525,-1.75599
4.1202,0.56898,-1.12815,2.68794,-0.96138,4.57146
3.8259,1.12815,-0.59841,0.14715,-0.03924,3.66894
-0.31392,-1.49112,-0.63765,-0.35316,1.65789,1.19682
1.83447,1.41264,1.42245,-0.97119,2.40345,0.43164
0.91233,-0.92214,-1.26549,-3.01167,1.92276,2.39364
-0.0981,-1.91295,-1.962,1.49112,-0.28449,-2.57022
1.02024,0.5886,-2.91357,-0.85347,1.54017,1.49112
2.18763,3.02148,4.08096,0.42183,0.67689,-2.21706
-1.39302,1.33416,-0.85347,-0.40221,-0.38259,-0.02943
-1.15758,-1.45188,2.97243,0.45126,-2.30535,3.4335
-0.18639,0.54936,1.31454,0.42183,0.79461,0.17658
-2.05029,-1.36359,-0.65727,1.94238,3.08034,-2.21706
-0.81423,0.71613,7.0632,1.28511,-0.31392,0.43164
-1.11834,0.60822,-1.99143,-0.16677,3.6297,1.32435
-1.74618,1.4715,-1.45188,0.40221,-0.3924,3.08034
-1.25568,2.41326,-1.62846,1.2753,-3.16863,1.18701
-3.79647,-4.44393,-3.95343,-0.18639,-0.21582,-1.55979
-0.92214,-1.75599,-1.33416,-2.14839,1.57941,-1.64808
-0.34335,0.54936,1.2753,-2.72718,-0.94176,-3.12939
-2.8449,3.02148,5.41512,3.1392,-0.5886,-3.60027
-1.26549,0.83385,2.88414,2.17782,-0.90252,-0.84366
-0.5886,-1.04967,-1.94238,0.75537,-0.7848,3.16863
-5.4936,-8.45622,-6.78852,-0.96138,-1.78542,-4.18887
4.30659,1.03005,0.93195,-0.15696,1.55979,-0.8829
2.52117,5.37588,1.20663,3.37464,0.61803,3.26673
-0.35316,-0.4905,1.99143,1.61865,0.67689,-2.09934
-0.35316,-0.52974,-1.22625,0.67689,2.87433,2.23668
0.04905,-2.52117,-0.81423,0.08829,-0.11772,4.60089
2.49174,-1.14777,2.07972,1.61865,0.28449,-3.83571
-0.74556,1.80504,5.89581,2.09934,0.10791,1.69713
2.00124,3.55122,1.64808,1.67751,0.70632,1.57941
-0.20601,0.6867,-2.01105,-0.59841,-0.60822,1.67751
0.96138,-0.45126,-0.31392,-1.73637,1.04967,-0.69651
1.10853,-0.26487,-0.90252,1.88352,0.77499,0.54936
0.48069,-2.5506,-0.35316,-0.2943,3.21768,-0.5886
0.05886,-1.03986,0.94176,0.14715,5.57208,0.59841
-0.1962,-0.10791,0.96138,2.34459,-1.42245,2.59965
-1.3734,1.06929,-1.99143,-2.51136,-4.27716,-2.75661
0.48069,-2.21706,-1.06929,3.0411,-1.19682,2.4525
0.40221,0.3924,-0.48069,1.50093,0.75537,-1.64808
-1.33416,-2.92338,-2.0601,1.29492,-0.35316,-0.42183
-0.03924,-0.55917,-1.20663,-1.53036,-0.99081,0.38259
0.37278,-1.62846,-1.10853,0.64746,0.42183,0.7848
3.97305,-0.7848,-2.56041,-1.24587,-0.44145,-2.5506
-1.13796,-0.03924,-1.38321,0.73575,-1.52055,-2.04048
0.70632,1.91295,0.51012,-3.11958,2.09934,-0.37278
-0.72594,-1.80504,-2.78604,2.19744,0.53955,-1.6677
-0.35316,-0.28449,1.93257,-0.1962,-0.02943,-1.58922
0.56898,0.66708,2.11896,0.64746,-1.46169,-1.7658
-3.1392,0.8829,0.65727,1.19682,-2.49174,0.05886
0.71613,-1.97181,0.33354,1.34397,-1.49112,0.2943
2.38383,-0.12753,-0.38259,1.88352,-0.00981,2.92338
3.26673,0.0981,-0.21582,1.80504,-0.8829,2.24649
-0.57879,2.75661,0.55917,0.23544,-1.40283,-4.58127
-0.40221,0.08829,1.20663,-0.42183,1.58922,-0.89271
1.2753,1.57941,0.08829,-1.58922,-1.67751,-0.77499
0.11772,2.09934,-0.97119,0.35316,0.55917,1.04967
-0.84366,-1.00062,-0.65727,-0.02943,1.98162,0.24525
1.05948,-0.20601,-0.02943,0.75537,-1.06929,2.04048
1.5696,-0.95157,0.89271,-2.03067,-0.00981,-1.67751
0.87309,4.13001,0.85347,0.51993,-2.47212,2.27592
-0.3924,0.83385,1.97181,3.21768,-0.04905,0.33354
-0.48069,-0.18639,0.47088,-0.10791,-0.46107,1.5696
0.94176,1.72656,1.0791,-0.5886,-0.30411,0.25506
0.10791,-2.00124,-1.35378,0.35316,-0.05886,0.11772
2.76642,0.79461,1.49112,3.8259,1.65789,0.6867
2.78604,1.25568,1.95219,0.12753,-2.19744,-0.15696
2.02086,0.75537,-6.14106,0.28449,-1.41264,5.9841
-1.09872,1.49112,1.24587,3.02148,-0.8829,-2.0601
-9.73152,-5.73885,-6.2784,-3.22749,0.86328,0.51993
-0.67689,0.2943,3.09015,0.0981,0.69651,-1.53036
5.17968,-0.13734,2.00124,2.2563,1.19682,5.81733
2.78604,2.6487,3.01167,5.1012,-2.1582,-2.1582
-0.72594,-0.46107,-2.18763,0.41202,-0.60822,-0.95157
-4.32621,-5.36607,-4.7088,-2.28573,-1.44207,-3.50217
-0.59841,1.04967,4.84614,1.33416,0.46107,-0.27468
2.69775,-1.88352,1.98162,3.28635,-1.54998,-0.28449
-0.63765,0.94176,-1.73637,-1.61865,-1.69713,2.47212
-1.01043,3.0411,2.00124,-1.91295,-2.37402,-0.51012
-0.56898,-1.28511,-2.04048,1.12815,0.76518,-1.24587
-0.99081,3.17844,-1.34397,0.25506,-0.04905,2.97243
0.07848,0.56898,1.64808,1.41264,-0.5886,-2.50155
0.24525,-1.15758,-0.23544,0.75537,3.30597,0.34335
1.13796,3.20787,-0.69651,-0.42183,-2.09934,2.26611
1.87371,-0.77499,1.31454,0.89271,1.44207,1.03005
-0.99081,-2.93319,-0.63765,2.20725,3.3354,1.69713
-4.77747,-7.74009,-5.1993,-5.03253,-0.03924,-0.70632
1.84428,-0.14715,-1.73637,-0.56898,2.07972,-1.03005
-5.99391,-6.41574,-2.31516,-1.99143,2.00124,-0.7848
-0.65727,-0.5886,0.84366,0.31392,-0.47088,1.95219
2.8449,0.93195,-0.53955,2.04048,-1.63827,0.06867
-0.08829,2.75661,-1.38321,2.04048,-0.12753,4.33602
-1.98162,2.36421,-1.78542,-0.57879,0.06867,-0.42183
-0.71613,2.27592,2.41326,0.70632,-0.2943,-4.28697
1.54017,4.18887,1.28511,2.87433,2.7468,2.68794
-0.92214,-0.94176,-2.38383,0.63765,1.35378,0.92214
-0.16677,0.6867,1.14777,-0.54936,-0.5886,1.13796
0.0,-0.01962,-0.10791,1.21644,1.55979,-2.76642
0.86328,0.95157,-0.55917,3.36483,3.17844,1.77561
1.13796,1.69713,-3.42369,0.80442,0.981,-0.14715
2.12877,0.08829,-1.38321,0.63765,2.10915,-1.29492
-1.6677,0.96138,-0.34335,2.7468,2.71737,1.72656
0.6867,-0.06867,0.85347,1.49112,2.16801,0.60822
-2.8449,0.22563,-2.07972,-0.20601,-1.32435,-1.45188
-1.90314,1.43226,-0.81423,-0.57879,0.81423,-1.80504
0.60822,0.31392,1.24587,1.99143,-1.2753,-0.25506
-1.16739,2.04048,-3.06072,1.40283,-2.27592,-0.42183
-0.66708,-2.7468,0.0981,1.03005,-1.77561,-2.96262
0.97119,-1.962,-1.68732,3.22749,0.0981,0.21582
4.01229,2.73699,2.2563,0.01962,0.77499,0.02943
-8.32869,-1.75599,-7.19073,-5.74866,-3.45312,-5.24835
-0.96138,-0.41202,-2.09934,-1.73637,-0.25506,0.04905
2.18763,-2.69775,-1.40283,-1.15758,0.73575,1.49112
1.80504,0.6867,1.23606,-0.96138,2.40345,3.05091
-1.19682,-0.7848,0.46107,-0.57879,1.59903,0.69651
-1.80504,-0.3924,-2.48193,1.01043,0.71613,1.42245
1.12815,-0.30411,-0.44145,-2.08953,2.40345,3.03129
-2.14839,1.87371,-0.14715,-0.2943,0.80442,0.07848
-0.00981,-0.20601,-1.95219,-0.57879,1.20663,-0.01962
0.13734,0.43164,-0.18639,-0.40221,1.75599,-0.00981
-1.41264,0.85347,-1.0791,-3.56103,1.12815,0.60822
-1.83447,-1.70694,-2.78604,0.38259,-0.28449,-1.52055
0.45126,-0.85347,2.1582,2.04048,-0.74556,0.40221
2.10915,-1.95219,0.00981,-0.16677,2.54079,0.10791
0.12753,1.45188,0.10791,1.61865,2.26611,2.40345
1.43226,3.83571,1.42245,-0.48069,-0.14715,-1.64808
-0.31392,-0.8829,0.94176,-0.37278,0.50031,-1.1772
3.91419,2.51136,3.00186,5.04234,0.85347,0.32373
1.44207,-1.18701,-0.35316,0.93195,0.03924,-2.0601
2.71737,3.07053,2.30535,0.43164,-0.24525,-2.16801
-1.03005,-1.10853,-1.13796,1.77561,3.32559,-2.18763
1.91295,-3.01167,0.45126,-1.02024,0.31392,0.6867
0.44145,1.55979,-0.42183,0.38259,-0.71613,1.41264
0.18639,-1.67751,-0.74556,1.78542,-0.92214,-2.33478
4.85595,-0.63765,2.00124,1.09872,3.26673,-2.61927
2.10915,-0.22563,-0.87309,1.35378,-1.51074,3.05091
-1.25568,-0.92214,0.51993,0.0,1.45188,-0.81423
-0.81423,-2.23668,-1.64808,-0.83385,3.51198,0.69651
0.46107,-0.5886,-2.65851,-0.15696,2.75661,0.76518
-0.34335,2.61927,1.60884,0.57879,0.18639,2.85471
-0.52974,-0.981,2.5506,-0.71613,-2.59965,-0.21582
-4.76766,-5.3955,-2.16801,-1.1772,1.19682,-1.45188
1.34397,-1.58922,-1.24587,1.95219,4.35564,1.14777
-1.35378,1.58922,2.19744,0.21582,-0.41202,3.67875
-1.45188,1.89333,-1.87371,1.21644,-2.26611,-0.00981
-1.49112,-0.34335,-0.33354,3.03129,-1.64808,-2.07972
-1.18701,-0.63765,-2.53098,0.57879,2.30535,-2.13858
-1.58922,-1.92276,0.71613,1.21644,-0.77499,1.77561
0.73575,-2.48193,-1.10853,0.8829,2.2563,3.58065
0.2943,-0.53955,-4.23792,0.30411,-0.01962,-0.15696
-0.77499,0.18639,2.99205,0.34335,0.37278,-1.16739
-0.63765,1.06929,-2.27592,1.06929,3.0411,1.06929
0.48069,0.99081,3.91419,1.67751,0.53955,-2.16801
4.25754,0.0,-0.69651,3.08034,-0.41202,3.8259
-0.75537,3.1392,-2.06991,1.18701,-0.83385,2.20725
3.84552,0.91233,-0.42183,1.06929,-0.48069,0.80442
1.59903,0.56898,1.1772,1.80504,-2.70756,0.80442
-1.91295,2.6487,-1.25568,-0.69651,0.05886,-2.73699
-0.66708,0.2943,-2.6487,0.53955,-1.00062,-0.85347
0.55917,-2.58984,-0.06867,1.78542,0.14715,0.14715
-6.79833,-7.4556,-3.94362,-3.64932,0.26487,-0.56898
-0.35316,0.0981,1.65789,-0.72594,-0.34335,-0.92214
1.54998,0.50031,0.56898,-0.8829,-0.30411,2.30535
-1.49112,0.26487,3.25692,-0.84366,-1.0791,0.04905
2.13858,4.07115,3.63951,0.20601,1.46169,-4.11039
0.43164,1.83447,2.76642,1.54017,-2.39364,-0.82404
