Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50
-1.962,-0.53955,-2.16801,0.67689,0.03924,-2.44269,2.31516,-3.52179,-1.32435,0.95157,-1.75599,-2.89395
-1.50093,-1.02024,-2.66832,1.59903,1.1772,-4.54203,2.08953,-3.73761,-0.60822,1.24587,-0.59841,-3.03129
-1.7658,-2.0601,-2.87433,1.2753,0.15696,-3.61989,1.98162,-3.47274,-0.08829,1.72656,-0.47088,-1.73637
-0.92214,-0.87309,-1.99143,2.23668,-0.11772,-1.41264,1.79523,-2.70756,0.44145,0.90252,-0.21582,-0.75537
-1.65789,-1.88352,-1.55979,3.15882,0.79461,-2.06991,2.33478,-2.81547,-1.24587,1.29492,-0.08829,-0.69651
-0.59841,-1.42245,-1.52055,3.15882,1.43226,-1.50093,1.6677,-2.19744,0.34335,0.77499,1.93257,-2.11896
-0.18639,-1.19682,-0.99081,3.6297,1.1772,0.16677,1.57941,-1.48131,1.61865,1.03005,1.81485,-1.82466
0.10791,-0.03924,-0.59841,2.20725,0.64746,1.44207,1.89333,-0.44145,0.74556,1.09872,1.77561,-2.19744
-0.31392,-1.09872,0.21582,3.15882,0.83385,-1.54998,1.54017,-0.01962,0.15696,0.26487,0.34335,-1.3734
-0.57879,-1.45188,-0.13734,3.40407,2.27592,-1.65789,1.31454,0.92214,2.54079,0.54936,0.83385,-2.61927
-0.54936,-2.05029,-0.44145,2.96262,1.19682,-2.0601,2.48193,0.7848,2.37402,-0.36297,-0.18639,-2.38383
-0.87309,-1.18701,-0.36297,1.0791,1.16739,-1.28511,2.01105,0.70632,2.00124,-0.13734,-0.05886,-1.63827
-0.92214,-1.22625,0.44145,0.87309,2.52117,-2.23668,2.13858,0.96138,0.41202,-0.97119,-0.40221,0.51993
-0.92214,-2.01105,0.0,-0.27468,3.10977,0.03924,2.91357,1.13796,2.02086,-0.25506,-0.41202,-0.32373
-1.20663,-1.31454,-0.16677,-0.70632,1.64808,0.69651,2.71737,1.35378,1.36359,0.05886,-0.21582,-1.16739
-1.02024,-0.83385,-0.57879,-1.91295,2.00124,2.02086,2.7468,1.90314,0.5886,0.00981,-2.58984,-2.13858
