RMS,Standard_Deviation,Peak_to_Peak
1.0778432909518898,0.8440116418332155,2.59965
3.8568752437627536,1.5012794005081134,3.9239999999999995
2.1218306596545355,1.9629358143225164,5.4445500000000004
2.1616270631286056,2.237346091607197,5.16987
1.6289130092795012,1.7353295696437607,4.208489999999999
1.9928953229660609,2.178632929357307,5.41512
1.261561168731029,1.2483534971593584,3.1686300000000003
1.9058349990489731,1.9543299376819667,4.522410000000001
1.3931869442217724,1.521982850701676,4.14963
1.4761143650815136,1.5036994645473543,4.46355
1.9057340053638125,1.9935278162393422,5.30721
1.2765130961137845,0.9178809035980648,2.6487
2.1935132213757,2.352598767233801,6.26859
4.753818100921616,2.952646495473171,7.70085
1.4229065991308074,1.556630942474805,3.81609
3.895195944660551,3.19357715872969,8.41698
0.9679476178492306,1.0293802108064833,2.6094600000000003
1.6383581114029984,1.6621394238631126,4.483169999999999
2.327403979114928,2.1466467859245033,5.7192300000000005
1.4844575500161667,1.569277054276905,4.345829999999999
2.2538888638750585,2.4689465822167964,6.70023
2.726474153260947,1.0457969199610408,2.9037599999999997
1.3234777127326325,1.4291882814381036,3.73761
0.7916169556673227,0.8119614783966047,1.73637
1.3891112414418076,1.5215433336057174,4.32621
